 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,63756149,31,47,1815,41404,517,0,58.5483871,115.6563411,2148,0,880.9361702,692.8690009,677.8797132,1.223411408,828001.9351,6673918.597,58600000,1,63800000,2125204.967,10700000.0,58600000,157,63500000,1380967.5,8635191.887,58600000,1,0,0,0,0,632,952,0.486227611,0.737183797,0,2148,547.0759494,673.8795596,454113.6608,0,0,0,1,0,0,0,0,1,554.0897436,58.5483871,880.9361702,632,0,0,0,0,0,0,31,1815,47,41404,8192,377,30,20,4963456.0,0.0,4963456,4963456,58600000.0,0.0,58600000,58600000,BENIGN
53,49579,1,1,57,188,57,57,57.0,0.0,188,188,188.0,0.0,4941.608342,40.33965994,49579.0,0.0,49579,49579,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,20.16982997,20.16982997,57,188,100.6666667,75.63288526,5720.333333,0,0,0,0,0,0,0,0,1,151.0,57.0,188.0,20,0,0,0,0,0,0,1,57,1,188,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,262,2,2,64,332,32,32,32.0,0.0,166,166,166.0,0.0,1511450.382,15267.17557,87.33333333,149.5337197,260,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,7633.587786,7633.587786,32,166,85.6,73.39482271,5386.8,0,0,0,0,0,0,0,0,1,107.0,32.0,166.0,64,0,0,0,0,0,0,2,64,2,332,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,47939,2,2,70,542,35,35,35.0,0.0,271,271,271.0,0.0,12766.22374,83.43937087,15979.66667,27635.16847,47890,2,2,2.0,0.0,2,2,47,47.0,0.0,47,47,0,0,0,0,64,64,41.71968543,41.71968543,35,271,129.4,129.2625236,16708.8,0,0,0,0,0,0,0,0,1,161.75,35.0,271.0,64,0,0,0,0,0,0,2,70,2,542,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,241,2,2,80,352,40,40,40.0,0.0,176,176,176.0,0.0,1792531.12,16597.51037,80.33333333,99.52051715,192,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,8298.755187,8298.755187,40,176,94.4,74.49026782,5548.8,0,0,0,0,0,0,0,0,1,118.0,40.0,176.0,64,0,0,0,0,0,0,2,80,2,352,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,113384852,17,15,2173,774,1048,0,127.8235294,345.0297515,384,0,51.6,134.962852,25.99112622,0.282224648,3657575.871,4777687.422,9995020,106,113000000,7084257.188,4497283.791,10000000,200,113000000,8096305.429,3884337.794,10000000,19994,0,0,0,0,352,444,0.149931845,0.132292804,0,1048,89.3030303,263.0506706,69195.6553,0,0,0,1,0,0,0,0,0,92.09375,127.8235294,51.6,352,0,0,0,0,0,0,17,2173,15,774,8192,378,16,20,348368.6364,952216.5406,3210193,36560,9956005.455,77298.46544,9995020,9790547,BENIGN
53,80169,1,1,51,129,51,51,51.0,0.0,129,129,129.0,0.0,2245.256895,24.94729883,80169.0,0.0,80169,80169,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,12.47364942,12.47364942,51,129,77.0,45.033321,2028.0,0,0,0,0,0,0,0,0,1,115.5,51.0,129.0,20,0,0,0,0,0,0,1,51,1,129,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,215016,4,4,1218,2997,1206,0,304.5,601.0066555,1531,0,749.25,862.1861265,19603.19232,37.20653347,30716.57143,32599.8503,73993,64,214908,71636.0,42024.10305,112432,28483,186597,62199.0,74022.00167,144150,193,0,0,0,0,92,88,18.60326673,18.60326673,0,1531,468.3333333,703.2140499,494510.0,0,0,0,1,0,0,0,0,1,526.875,304.5,749.25,92,0,0,0,0,0,0,4,1218,4,2997,8192,64240,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
60770,46,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,43478.26087,46.0,0.0,46,46,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21739.13043,21739.13043,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,290,266,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,91,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,131868.1319,21978.02198,91.0,0.0,91,91,91,91.0,0.0,91,91,0,0.0,0.0,0,0,0,0,0,0,40,0,21978.02198,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,64209,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3089,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,70573,1,1,49,100,49,49,49.0,0.0,100,100,100.0,0.0,2111.28902,28.33944993,70573.0,0.0,70573,70573,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,14.16972497,14.16972497,49,100,66.0,29.44486373,867.0,0,0,0,0,0,0,0,0,1,99.0,49.0,100.0,20,0,0,0,0,0,0,1,49,1,100,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,64073475,2,0,74,0,37,37,37.0,0.0,0,0,0.0,0.0,1.154924093,0.031214165,64100000.0,0.0,64100000,64100000,64100000,64100000.0,0.0,64100000,64100000,0,0.0,0.0,0,0,1,0,0,0,40,0,0.031214165,0.0,37,37,37.0,0.0,0.0,0,1,0,0,1,1,0,0,0,55.5,37.0,0.0,40,0,0,0,0,0,0,2,74,0,0,65535,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
50563,53,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18867.92453,18867.92453,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,426,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30833,1,1,56,84,56,56,56.0,0.0,84,84,84.0,0.0,4540.589628,64.86556611,30833.0,0.0,30833,30833,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.43278306,32.43278306,56,84,65.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,98.0,56.0,84.0,32,0,0,0,0,0,0,1,56,1,84,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,211,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,758293.8389,18957.34597,70.33333333,81.81890572,161,2,2,2.0,0.0,2,2,48,48.0,0.0,48,48,0,0,0,0,40,40,9478.672986,9478.672986,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
3823,42226,2,0,6,0,6,0,3.0,4.242640687,0,0,0.0,0.0,142.0925496,47.3641832,42226.0,0.0,42226,42226,42226,42226.0,0.0,42226,42226,0,0.0,0.0,0,0,0,0,0,0,52,0,47.3641832,0.0,0,6,2.0,3.464101615,12.0,0,0,0,0,1,0,0,0,0,3.0,3.0,0.0,52,0,0,0,0,0,0,2,6,0,0,273,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,240530,18,13,1672,6579,1110,0,92.88888889,260.4306137,1418,0,506.0769231,611.3530706,34303.4133,128.8820521,8017.666667,15775.95615,43199,1,240530,14148.82353,25220.82723,85521,1,198169,16514.08333,28176.59795,88585,1,0,0,0,0,584,424,74.83473995,54.04731219,0,1418,257.84375,475.0335207,225656.8458,0,0,0,1,0,0,0,0,0,266.1612903,92.88888889,506.0769231,584,0,0,0,0,0,0,18,1672,13,6579,29200,370,7,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
48241,52,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,19230.76923,19230.76923,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,413,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,61167,2,2,74,188,37,37,37.0,0.0,94,94,94.0,0.0,4283.355404,65.39473899,20389.0,35229.91343,61069,49,49,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0,0,0,40,40,32.6973695,32.6973695,37,94,59.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,74.75,37.0,94.0,40,0,0,0,0,0,0,2,74,2,188,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1728,2,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,9000000.0,1500000.0,1.0,0.0,1,1,2,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,60,0,1500000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,2053,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,1613,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0.0,0.0,26658.4005,1859.888407,806.5,1136.320597,1610,3,1613,806.5,1136.320597,1610,3,0,0.0,0.0,0,0,0,0,0,0,60,0,1859.888407,0.0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0.0,60,0,0,0,0,0,0,3,43,0,0,253,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60423,2,2,58,154,29,29,29.0,0.0,77,77,77.0,0.0,3508.597719,66.19995697,20141.0,34802.09688,60327,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,33.09997849,33.09997849,29,77,48.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,60.25,29.0,77.0,64,0,0,0,0,0,0,2,58,2,154,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,246,2,2,90,252,45,45,45.0,0.0,126,126,126.0,0.0,1390243.902,16260.1626,82.0,102.3279043,197,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,8130.081301,8130.081301,45,126,77.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,96.75,45.0,126.0,64,0,0,0,0,0,0,2,90,2,252,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,2282,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,876.4241893,2282.0,0.0,2282,2282,2282,2282.0,0.0,2282,2282,0,0.0,0.0,0,0,0,0,0,0,64,0,876.4241893,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,36709,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,2615.162494,54.48255196,36709.0,0.0,36709,36709,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,27.24127598,27.24127598,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,20,0,0,0,0,0,0,1,48,1,48,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,205,2,2,82,190,41,41,41.0,0.0,95,95,95.0,0.0,1326829.268,19512.19512,68.33333333,76.84616668,153,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,64,9756.097561,9756.097561,41,95,62.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,78.25,41.0,95.0,64,0,0,0,0,0,0,2,82,2,190,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53058,45254,3,1,1672,6,1460,6,557.3333333,788.1023622,6,6,6.0,0.0,37079.59517,88.38997658,15084.66667,25939.48161,45037,107,45254,22627.0,31692.52593,45037,217,0,0.0,0.0,0,0,0,0,0,0,60,20,66.29248243,22.09749414,6,1460,627.6,764.2478656,584074.8,0,0,0,0,1,0,0,0,0,784.5,557.3333333,6.0,60,0,0,0,0,0,0,3,1672,1,6,31088,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,115302947,22,19,1243,5717,856,0,56.5,186.1064084,1547,0,300.8947368,562.8552108,60.36272429,0.355585014,2882573.675,4500357.427,10000000,4,115000000,5490616.524,4984353.214,10000000,4,111000000,6149279.722,5026531.851,10000000,4,0,0,0,0,712,616,0.190801715,0.164783299,0,1547,165.7142857,415.1675704,172364.1115,0,0,0,1,0,0,0,0,0,169.7560976,56.5,300.8947368,712,0,0,0,0,0,0,22,1243,19,5717,29200,370,4,32,56798.54545,66187.82085,256362,36623,10000000.0,15372.85221,10000000,9959892,BENIGN
53,400,2,2,68,142,34,34,34.0,0.0,71,71,71.0,0.0,525000.0,10000.0,133.3333333,224.0119044,392,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,5000.0,5000.0,34,71,48.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,61.0,34.0,71.0,40,0,0,0,0,0,0,2,68,2,142,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,177582,1,1,48,196,48,48,48.0,0.0,196,196,196.0,0.0,1374.013132,11.26240272,177582.0,0.0,177582,177582,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,5.63120136,5.63120136,48,196,97.33333333,85.44783984,7301.333333,0,0,0,0,0,0,0,0,1,146.0,48.0,196.0,20,0,0,0,0,0,0,1,48,1,196,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,87072,2,2,64,250,32,32,32.0,0.0,125,125,125.0,0.0,3606.210952,45.93899302,29024.0,50229.47869,87024,1,47,47.0,0.0,47,47,1,1.0,0.0,1,1,0,0,0,0,64,64,22.96949651,22.96949651,32,125,69.2,50.93819785,2594.7,0,0,0,0,0,0,0,0,1,86.5,32.0,125.0,64,0,0,0,0,0,0,2,64,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,165,2,2,76,244,38,38,38.0,0.0,122,122,122.0,0.0,1939393.939,24242.42424,55.0,88.33459119,157,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,12121.21212,12121.21212,38,122,71.6,46.00869483,2116.8,0,0,0,0,0,0,0,0,1,89.5,38.0,122.0,64,0,0,0,0,0,0,2,76,2,244,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,195,2,2,72,282,36,36,36.0,0.0,141,141,141.0,0.0,1815384.615,20512.82051,65.0,72.69112738,145,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,64,10256.41026,10256.41026,36,141,78.0,57.51086854,3307.5,0,0,0,0,0,0,0,0,1,97.5,36.0,141.0,64,0,0,0,0,0,0,2,72,2,282,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,185,2,2,138,238,69,69,69.0,0.0,119,119,119.0,0.0,2032432.432,21621.62162,61.66666667,66.56074919,134,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,10810.81081,10810.81081,69,119,89.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,111.25,69.0,119.0,40,0,0,0,0,0,0,2,138,2,238,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
139,35,3,1,4,4,4,0,1.333333333,2.309401077,4,4,4.0,0.0,228571.4286,114285.7143,11.66666667,13.27905619,27,4,35,17.5,19.09188309,31,4,0,0.0,0.0,0,0,1,0,0,0,96,32,85714.28571,28571.42857,0,4,2.4,2.19089023,4.8,0,1,0,0,1,0,0,0,0,3.0,1.333333333,4.0,96,0,0,0,0,0,0,3,4,1,4,302,302,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
4172,22,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,545454.5455,90909.09091,22.0,0.0,22,22,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,45454.54545,45454.54545,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,947,16271,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,49265743,8,10,4279,124,4279,0,534.875,1512.854958,124,0,12.4,39.21224299,89.37244689,0.365365443,2897984.882,4628132.051,10200000,4,40900000,5849737.714,5455365.716,10200000,6108,49200000,5471419.889,5219471.158,10200000,4,0,0,0,0,264,328,0.162384641,0.202980801,0,4279,231.7368421,980.5009968,961382.2047,0,0,0,1,0,0,0,0,1,244.6111111,534.875,12.4,264,0,0,0,0,0,0,8,4279,10,124,29200,1177,1,32,30653.5,15087.7457,53285,23045,10200000.0,20987.02298,10200000,10200000,BENIGN
53,152,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,1263157.895,26315.78947,50.66666667,81.69659316,145,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,13157.89474,13157.89474,40,56,46.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,64,0,0,0,0,0,0,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30634,1,1,43,59,43,43,43.0,0.0,59,59,59.0,0.0,3329.63374,65.28693608,30634.0,0.0,30634,30634,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.64346804,32.64346804,43,59,48.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,72.5,43.0,59.0,20,0,0,0,0,0,0,1,43,1,59,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,119396,4,2,152,320,38,38,38.0,0.0,160,160,160.0,0.0,3953.231264,50.2529398,23879.2,38601.11804,88741,4,30607,10202.33333,17664.03149,30599,4,48,48.0,0.0,48,48,0,0,0,0,80,40,33.50195986,16.75097993,38,160,72.85714286,59.52990445,3543.809524,0,0,0,0,0,0,0,0,0,85.0,38.0,160.0,80,0,0,0,0,0,0,4,152,2,320,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,48121,2,2,84,116,42,42,42.0,0.0,58,58,58.0,0.0,4156.189605,83.12379211,16040.33333,27777.47617,48115,2,4,4.0,0.0,4,4,2,2.0,0.0,2,2,0,0,0,0,40,40,41.56189605,41.56189605,42,58,48.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,60.5,42.0,58.0,40,0,0,0,0,0,0,2,84,2,116,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
